stname,year,tot_pop
Louisiana,2004,4552238
Louisiana,2005,4576628
Louisiana,2006,4302665
Louisiana,2007,4375581
Louisiana,2008,4435586
Louisiana,2009,4491648
Louisiana,2010,4544228
Louisiana,2011,4575381
Louisiana,2012,4603676
Louisiana,2013,4627491
Louisiana,2014,4648990
Louisiana,2015,4670724
Maine,1990,1284467
Maine,1991,1314053
Maine,1992,1257020
Maine,1993,1464231
Maine,1994,1696357
Maine,1995,1424045
Maine,1996,1249060
Maine,1997,1416936
Maine,1998,1292012
Maine,1999,1306111
Maine,2000,1277072
Maine,2001,1285692
Maine,2002,1295960
Maine,2003,1306513
Maine,2004,1313688
Maine,2005,1318787
Maine,2006,1323619
Maine,2007,1327040
Maine,2008,1330509
Maine,2009,1329590
Maine,2010,1327567
Maine,2011,1328257
Maine,2012,1328888
Maine,2013,1328778
Maine,2014,1330256
Maine,2015,1329328
Maryland,1990,6296809
Maryland,1991,5023306
Maryland,1992,5923217
Maryland,1993,5000110
Maryland,1994,5835039
Maryland,1995,5571323
Maryland,1996,5291270
Maryland,1997,5270891
Maryland,1998,5802441
Maryland,1999,5353008
Maryland,2000,5311034
Maryland,2001,5374691
Maryland,2002,5440389
Maryland,2003,5496269
Maryland,2004,5546935
Maryland,2005,5592379
Maryland,2006,5627367
Maryland,2007,5653408
Maryland,2008,5684965
Maryland,2009,5730388
Maryland,2010,5785982
Maryland,2011,5844171
Maryland,2012,5890740
Maryland,2013,5936040
Maryland,2014,5975346
Maryland,2015,6006401
Massachusetts,1990,6175519
Massachusetts,1991,6018470
Massachusetts,1992,6737815
Massachusetts,1993,7263816
Massachusetts,1994,8363598
Massachusetts,1995,6777450
Massachusetts,1996,6316413
Massachusetts,1997,7138713
Massachusetts,1998,6343091
Massachusetts,1999,6317345
Massachusetts,2000,6361104
Massachusetts,2001,6397634
Massachusetts,2002,6417206
Massachusetts,2003,6422565
Massachusetts,2004,6412281
Massachusetts,2005,6403290
Massachusetts,2006,6410084
Massachusetts,2007,6431559
Massachusetts,2008,6468967
Massachusetts,2009,6517613
Massachusetts,2010,6557254
Massachusetts,2011,6611797
Massachusetts,2012,6657780
Massachusetts,2013,6708810
Massachusetts,2014,6755124
Massachusetts,2015,6794422
Michigan,1990,9451156
Michigan,1991,11055182
Michigan,1992,10441164
Michigan,1993,11060396
Michigan,1994,9966948
Michigan,1995,10179401
Michigan,1996,9862730
Michigan,1997,10481187
Michigan,1998,10916203
Michigan,1999,12437534
Michigan,2000,9952450
Michigan,2001,9991120
Michigan,2002,10015710
Michigan,2003,10041152
Michigan,2004,10055315
Michigan,2005,10051137
Michigan,2006,10036081
Michigan,2007,10001284
Michigan,2008,9946889
Michigan,2009,9901591
Michigan,2010,9877574
Michigan,2011,9876589
Michigan,2012,9886879
Michigan,2013,9900506
Michigan,2014,9916306
Michigan,2015,9922576
Minnesota,1990,4453297
Minnesota,1991,4852123
Minnesota,1992,5980684
Minnesota,1993,5003703
Minnesota,1994,4908498
Minnesota,1995,4848685
Minnesota,1996,4845869
Minnesota,1997,5145051
Minnesota,1998,4941630
Minnesota,1999,5963937
Minnesota,2000,4933692
Minnesota,2001,4982796
Minnesota,2002,5018935
Minnesota,2003,5053572
Minnesota,2004,5087713
Minnesota,2005,5119598
Minnesota,2006,5163555
Minnesota,2007,5207203
Minnesota,2008,5247018
Minnesota,2009,5281203
Minnesota,2010,5310584
Minnesota,2011,5348119
Minnesota,2012,5380443
Minnesota,2013,5420541
Minnesota,2014,5457125
Minnesota,2015,5489594
Mississippi,1990,2764876
Mississippi,1991,2900269
Mississippi,1992,2765951
Mississippi,1993,3196652
Mississippi,1994,2753904
Mississippi,1995,2950571
Mississippi,1996,3174213
Mississippi,1997,2910146
Mississippi,1998,3128249
Mississippi,1999,3192793
Mississippi,2000,2848353
Mississippi,2001,2852994
Mississippi,2002,2858681
Mississippi,2003,2868312
Mississippi,2004,2889010
Mississippi,2005,2905943
Mississippi,2006,2904978
Mississippi,2007,2928350
Mississippi,2008,2947806
Mississippi,2009,2958774
Mississippi,2010,2970036
Mississippi,2011,2977999
Mississippi,2012,2985660
Mississippi,2013,2990976
Mississippi,2014,2993443
Mississippi,2015,2992333
Missouri,1990,5619775
Missouri,1991,6027906
Missouri,1992,5461876
Missouri,1993,6376086
Missouri,1994,5672844
Missouri,1995,5822842
Missouri,1996,5758033
Missouri,1997,5669929
Missouri,1998,5808456
Missouri,1999,6641504
Missouri,2000,5607285
Missouri,2001,5641142
Missouri,2002,5674825
Missouri,2003,5709403
Missouri,2004,5747741
Missouri,2005,5790300
Missouri,2006,5842704
Missouri,2007,5887612
Missouri,2008,5923916
Missouri,2009,5961088
Missouri,2010,5996231
Missouri,2011,6010587
Missouri,2012,6025468
Missouri,2013,6043708
Missouri,2014,6063827
Missouri,2015,6083672
Montana,1990,840521
Montana,1991,826965
Montana,1992,898218
Montana,1993,992487
Montana,1994,891213
Montana,1995,1044576
Montana,1996,923689
Montana,1997,966226
Montana,1998,1092267
Montana,1999,984924
Montana,2000,903773
Montana,2001,906961
Montana,2002,911667
Montana,2003,919630
Montana,2004,930009
Montana,2005,940102
Montana,2006,952692
Montana,2007,964706
Montana,2008,976415
Montana,2009,983982
Montana,2010,990898
Montana,2011,997746
Montana,2012,1005157
Montana,2013,1014402
Montana,2014,1023252
Montana,2015,1032949
Nebraska,1990,1653646
Nebraska,1991,1716133
Nebraska,1992,1700972
Nebraska,1993,1699635
Nebraska,1994,1711432
Nebraska,1995,1926095
Nebraska,1996,1819964
Nebraska,1997,1847406
Nebraska,1998,1742167
Nebraska,1999,2333980
Nebraska,2000,1713820
Nebraska,2001,1719836
Nebraska,2002,1728292
Nebraska,2003,1738643
Nebraska,2004,1749370
Nebraska,2005,1761497
Nebraska,2006,1772693
Nebraska,2007,1783440
Nebraska,2008,1796378
Nebraska,2009,1812683
Nebraska,2010,1830429
Nebraska,2011,1842383
Nebraska,2012,1855973
Nebraska,2013,1869300
Nebraska,2014,1882980
Nebraska,2015,1896190
Nevada,1990,1243130
Nevada,1991,1590264
Nevada,1992,1352897
Nevada,1993,1459510
Nevada,1994,1526044
Nevada,1995,1608154
Nevada,1996,1689031
Nevada,1997,2944547
Nevada,1998,1853191
Nevada,1999,1989496
Nevada,2000,2018741
Nevada,2001,2098399
Nevada,2002,2173791
Nevada,2003,2248850
Nevada,2004,2346222
Nevada,2005,2432143
Nevada,2006,2522658
Nevada,2007,2601072
Nevada,2008,2653630
Nevada,2009,2684665
Nevada,2010,2704642
Nevada,2011,2718819
Nevada,2012,2754874
Nevada,2013,2790366
Nevada,2014,2838281
Nevada,2015,2890845
New Hampshire,1990,1200381
New Hampshire,1991,1109929
New Hampshire,1992,1152214
New Hampshire,1993,1200777
New Hampshire,1994,1615859
New Hampshire,1995,1196525
New Hampshire,1996,1283034
New Hampshire,1997,1189425
New Hampshire,1998,1286968
New Hampshire,1999,1495867
New Hampshire,2000,1239882
New Hampshire,2001,1255517
New Hampshire,2002,1269089
New Hampshire,2003,1279840
New Hampshire,2004,1290121
New Hampshire,2005,1298492
New Hampshire,2006,1308389
New Hampshire,2007,1312540
New Hampshire,2008,1315906
New Hampshire,2009,1316102
New Hampshire,2010,1316759
New Hampshire,2011,1318344
New Hampshire,2012,1321393
New Hampshire,2013,1322660
New Hampshire,2014,1327996
New Hampshire,2015,1330608
New Jersey,1990,8649655
New Jersey,1991,9232715
New Jersey,1992,7945651
New Jersey,1993,9712098
New Jersey,1994,9000949
New Jersey,1995,8420718
New Jersey,1996,9257308
New Jersey,1997,8821580
New Jersey,1998,8287418
New Jersey,1999,9264173
New Jersey,2000,8430621
New Jersey,2001,8492671
New Jersey,2002,8552643
New Jersey,2003,8601402
New Jersey,2004,8634561
New Jersey,2005,8651974
New Jersey,2006,8661679
New Jersey,2007,8677885
New Jersey,2008,8711090
New Jersey,2009,8755602
New Jersey,2010,8801624
New Jersey,2011,8842934
New Jersey,2012,8874893
New Jersey,2013,8907384
New Jersey,2014,8938844
New Jersey,2015,8958013
New Mexico,1990,1526400
New Mexico,1991,1795483
New Mexico,1992,1613581
New Mexico,1993,2221546
New Mexico,1994,1854536
New Mexico,1995,1859372
New Mexico,1996,1864979
New Mexico,1997,1954370
New Mexico,1998,1941561
New Mexico,1999,1892166
New Mexico,2000,1821204
New Mexico,2001,1831690
New Mexico,2002,1855309
New Mexico,2003,1877574
New Mexico,2004,1903808
New Mexico,2005,1932274
New Mexico,2006,1962137
New Mexico,2007,1990070
New Mexico,2008,2010662
New Mexico,2009,2036802
New Mexico,2010,2065932
New Mexico,2011,2078226
New Mexico,2012,2084792
New Mexico,2013,2086890
New Mexico,2014,2085567
New Mexico,2015,2085109
New York,1990,18620694
New York,1991,18710246
New York,1992,21297093
New York,1993,19848054
New York,1994,22078496
New York,1995,20016087
New York,1996,21032391
New York,1997,20344344
New York,1998,19160109
New York,1999,22068385
New York,2000,19001780
New York,2001,19082838
New York,2002,19137800
New York,2003,19175939
New York,2004,19171567
New York,2005,19132610
New York,2006,19104631
New York,2007,19132335
New York,2008,19212436
New York,2009,19307066
New York,2010,19392283
New York,2011,19523202
New York,2012,19606981
New York,2013,19691032
New York,2014,19748858
New York,2015,19795791
North Carolina,1990,7367022
North Carolina,1991,7000956
North Carolina,1992,7381141
North Carolina,1993,7282036
North Carolina,1994,8353667
North Carolina,1995,9179809
North Carolina,1996,7764377
North Carolina,1997,8551041
North Carolina,1998,8703645
North Carolina,1999,8606700
North Carolina,2000,8081614
North Carolina,2001,8210122
North Carolina,2002,8326201
North Carolina,2003,8422501
North Carolina,2004,8553152
North Carolina,2005,8705407
North Carolina,2006,8917270
North Carolina,2007,9118037
North Carolina,2008,9309449
North Carolina,2009,9449566
North Carolina,2010,9561558
North Carolina,2011,9651025
North Carolina,2012,9747021
North Carolina,2013,9845432
North Carolina,2014,9940387
North Carolina,2015,10042802
North Dakota,1990,655180
North Dakota,1991,665903
North Dakota,1992,848789
North Dakota,1993,691248
North Dakota,1994,720176
North Dakota,1995,712430
North Dakota,1996,747094
North Dakota,1997,662804
North Dakota,1998,663975
North Dakota,1999,711784
North Dakota,2000,642023
North Dakota,2001,639062
North Dakota,2002,638168
North Dakota,2003,638817
North Dakota,2004,644705
North Dakota,2005,646089
North Dakota,2006,649422
North Dakota,2007,652822
North Dakota,2008,657569
North Dakota,2009,664968
North Dakota,2010,674499
North Dakota,2011,685326
North Dakota,2012,702265
North Dakota,2013,723626
North Dakota,2014,740040
North Dakota,2015,756927
Ohio,1990,12137400
Ohio,1991,12010962
Ohio,1992,12963064
Ohio,1993,12496531
Ohio,1994,11944964
Ohio,1995,12318720
Ohio,1996,12032266
Ohio,1997,11918998
Ohio,1998,11982417
Ohio,1999,12867443
Ohio,2000,11363543
Ohio,2001,11387404
Ohio,2002,11407889
Ohio,2003,11434788
Ohio,2004,11452251
Ohio,2005,11463320
Ohio,2006,11481213
Ohio,2007,11500468
Ohio,2008,11515391
Ohio,2009,11528896
Ohio,2010,11536182
Ohio,2011,11545442
Ohio,2012,11551783
Ohio,2013,11572232
Ohio,2014,11596998
Ohio,2015,11613423
Oklahoma,1990,3318525
Oklahoma,1991,3340697
Oklahoma,1992,3348755
Oklahoma,1993,3531049
Oklahoma,1994,4157412
Oklahoma,1995,3509368
Oklahoma,1996,3494605
Oklahoma,1997,3711564
Oklahoma,1998,3747557
Oklahoma,1999,4123507
Oklahoma,2000,3454365
Oklahoma,2001,3467100
Oklahoma,2002,3489080
Oklahoma,2003,3504892
Oklahoma,2004,3525233
Oklahoma,2005,3548597
Oklahoma,2006,3594090
Oklahoma,2007,3634349
Oklahoma,2008,3668976
Oklahoma,2009,3717572
Oklahoma,2010,3761702
Oklahoma,2011,3786626
Oklahoma,2012,3817679
Oklahoma,2013,3853405
Oklahoma,2014,3879610
Oklahoma,2015,3911338
Oregon,1990,3032097
Oregon,1991,3119383
Oregon,1992,3430464
Oregon,1993,3068989
Oregon,1994,3123073
Oregon,1995,3604559
Oregon,1996,3611508
Oregon,1997,3805265
Oregon,1998,3759534
Oregon,1999,4087324
Oregon,2000,3429708
Oregon,2001,3467937
Oregon,2002,3513424
Oregon,2003,3547376
Oregon,2004,3569463
Oregon,2005,3613202
Oregon,2006,3670883
Oregon,2007,3722417
Oregon,2008,3768748
Oregon,2009,3808600
Oregon,2010,3838957
Oregon,2011,3868509
Oregon,2012,3899444
Oregon,2013,3928030
Oregon,2014,3971202
Oregon,2015,4028977
Pennsylvania,1990,13369332
Pennsylvania,1991,12845320
Pennsylvania,1992,12641012
Pennsylvania,1993,14330538
Pennsylvania,1994,12625577
Pennsylvania,1995,14125243
Pennsylvania,1996,12822964
Pennsylvania,1997,12609725
Pennsylvania,1998,14700660
Pennsylvania,1999,13425272
Pennsylvania,2000,12284173
Pennsylvania,2001,12298970
Pennsylvania,2002,12331031
Pennsylvania,2003,12374658
Pennsylvania,2004,12410722
Pennsylvania,2005,12449990
Pennsylvania,2006,12510809
Pennsylvania,2007,12563937
Pennsylvania,2008,12612285
Pennsylvania,2009,12666858
Pennsylvania,2010,12709630
Pennsylvania,2011,12745202
Pennsylvania,2012,12772789
Pennsylvania,2013,12783536
Pennsylvania,2014,12793767
Pennsylvania,2015,12802503
Rhode Island,1990,1005995
Rhode Island,1991,1010649
Rhode Island,1992,1061891
Rhode Island,1993,1015112
Rhode Island,1994,1015960
Rhode Island,1995,1017002
Rhode Island,1996,1020893
Rhode Island,1997,1632811
Rhode Island,1998,1151361
Rhode Island,1999,1291286
Rhode Island,2000,1050268
Rhode Island,2001,1057142
Rhode Island,2002,1065995
Rhode Island,2003,1071342
Rhode Island,2004,1074579
Rhode Island,2005,1067916
Rhode Island,2006,1063096
Rhode Island,2007,1057315
Rhode Island,2008,1055003
Rhode Island,2009,1053646
Rhode Island,2010,1052886
Rhode Island,2011,1051856
Rhode Island,2012,1052393
Rhode Island,2013,1052856
Rhode Island,2014,1054907
Rhode Island,2015,1056298
South Carolina,1990,3689082
South Carolina,1991,4218191
South Carolina,1992,4002373
South Carolina,1993,3805449
South Carolina,1994,4346349
South Carolina,1995,3808255
South Carolina,1996,4004180
South Carolina,1997,4251361
South Carolina,1998,4636999
South Carolina,1999,4343483
South Carolina,2000,4024223
South Carolina,2001,4064995
South Carolina,2002,4107795
South Carolina,2003,4150297
South Carolina,2004,4210921
South Carolina,2005,4270150
South Carolina,2006,4357847
South Carolina,2007,4444110
South Carolina,2008,4528996
South Carolina,2009,4589872
South Carolina,2010,4636312
South Carolina,2011,4672733
South Carolina,2012,4721341
South Carolina,2013,4768498
South Carolina,2014,4829160
South Carolina,2015,4896146
South Dakota,1990,739952
South Dakota,1991,734415
South Dakota,1992,848509
South Dakota,1993,777129
South Dakota,1994,788277
South Dakota,1995,805775
South Dakota,1996,826582
South Dakota,1997,926718
South Dakota,1998,804036
South Dakota,1999,768344
South Dakota,2000,755844
South Dakota,2001,757972
South Dakota,2002,760020
South Dakota,2003,763729
South Dakota,2004,770396
South Dakota,2005,775493
South Dakota,2006,783033
South Dakota,2007,791623
South Dakota,2008,799124
South Dakota,2009,807067
South Dakota,2010,816463
South Dakota,2011,824289
South Dakota,2012,834631
South Dakota,2013,845270
South Dakota,2014,853304
South Dakota,2015,858469
Tennessee,1990,5302067
Tennessee,1991,5999443
Tennessee,1992,5359754
Tennessee,1993,5225073
Tennessee,1994,5532343
Tennessee,1995,5726605
Tennessee,1996,7034033
Tennessee,1997,5863928
Tennessee,1998,6074763
Tennessee,1999,5907786
Tennessee,2000,5703719
Tennessee,2001,5750789
Tennessee,2002,5795918
Tennessee,2003,5847812
Tennessee,2004,5910809
Tennessee,2005,5991057
Tennessee,2006,6088766
Tennessee,2007,6175727
Tennessee,2008,6247411
Tennessee,2009,6306019
Tennessee,2010,6356897
Tennessee,2011,6398408
Tennessee,2012,6455469
Tennessee,2013,6496130
Tennessee,2014,6547779
Tennessee,2015,6600299
Texas,1990,17732793
Texas,1991,18130476
Texas,1992,18596471
Texas,1993,19224151
Texas,1994,23599444
Texas,1995,20100564
Texas,1996,22564164
Texas,1997,22033213
Texas,1998,22830761
Texas,1999,22028322
Texas,2000,20944499
