"region","indicator","Unit","Date","Value"
"Colorado","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2005","0.986"
"Colorado","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2006","1.4516"
"Colorado","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2007","1.1725"
"Colorado","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2008","2.5914"
"Colorado","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2009","2.0897"
"Colorado","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2010","2.744"
"Colorado","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2011","2.5993"
"Colorado","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2012","4.0096"
"Colorado","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2013","3.1421"
"Connecticut","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1990","26.5495"
"Connecticut","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1991","13.7758"
"Connecticut","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1992","7.7862"
"Connecticut","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1993","4.7746"
"Connecticut","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1994","3.1664"
"Connecticut","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1995","2.5871"
"Connecticut","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1996","3.0869"
"Connecticut","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1997","1.8511"
"Connecticut","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1998","0.7726"
"Connecticut","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1999","0.4725"
"Connecticut","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2000","0.4689"
"Connecticut","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2001","0.3494"
"Connecticut","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2002","0.8091"
"Connecticut","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2003","0.8612"
"Connecticut","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2004","1.2844"
"Connecticut","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2005","1.6523"
"Connecticut","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2006","1.8261"
"Connecticut","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2007","1.1136"
"Connecticut","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2008","0.9711"
"Connecticut","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2009","1.8475"
"Connecticut","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2010","2.742"
"Connecticut","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2011","1.8153"
"Connecticut","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2012","1.5319"
"Connecticut","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2013","1.5597"
"Delaware","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1990","28.3765"
"Delaware","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1991","28.4008"
"Delaware","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1992","30.0752"
"Delaware","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1993","13.3073"
"Delaware","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1994","3.7628"
"Delaware","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1995","2.6037"
"Delaware","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1996","4.7235"
"Delaware","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1997","2.9275"
"Delaware","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1998","2.7511"
"Delaware","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1999","1.2903"
"Delaware","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2000","1.1443"
"Delaware","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2001","1.7575"
"Delaware","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2002","1.3624"
"Delaware","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2003","0.8563"
"Delaware","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2004","1.0839"
"Delaware","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2005","1.304"
"Delaware","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2006","2.3434"
"Delaware","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2007","2.0815"
"Delaware","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2008","1.8326"
"Delaware","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2009","3.0504"
"Delaware","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2010","1.0023"
"Delaware","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2011","2.9764"
"Delaware","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2012","4.1435"
"Delaware","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2013","5.6701"
"District of Columbia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1990","188.165"
"District of Columbia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1991","127.149"
"District of Columbia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1992","70.2852"
"District of Columbia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1993","48.8828"
"District of Columbia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1994","28.8508"
"District of Columbia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1995","19.2931"
"District of Columbia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1996","20.2664"
"District of Columbia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1997","20.6082"
"District of Columbia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1998","14.3304"
"District of Columbia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1999","7.8918"
"District of Columbia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2000","6.4726"
"District of Columbia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2001","7.4936"
"District of Columbia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2002","10.1594"
"District of Columbia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2003","8.5053"
"District of Columbia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2004","12.4656"
"District of Columbia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2005","20.7077"
"District of Columbia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2006","19.9474"
"District of Columbia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2007","30.2571"
"District of Columbia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2008","24.6691"
"District of Columbia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2009","27.1822"
"District of Columbia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2010","22.2694"
"District of Columbia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2011","26.6992"
"District of Columbia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2012","26.0943"
"District of Columbia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2013","26.5687"
"Florida","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1990","39.6369"
"Florida","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1991","20.3668"
"Florida","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1992","11.9189"
"Florida","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1993","8.5516"
"Florida","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1994","5.232"
"Florida","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1995","2.6345"
"Florida","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1996","2.4776"
"Florida","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1997","1.9491"
"Florida","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1998","1.8984"
"Florida","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1999","2.1765"
"Florida","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2000","2.573"
"Florida","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2001","2.956"
"Florida","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2002","3.6917"
"Florida","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2003","3.8662"
"Florida","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2004","4.1846"
"Florida","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2005","4.0697"
"Florida","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2006","3.9746"
"Florida","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2007","5.0024"
"Florida","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2008","5.6961"
"Florida","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2009","5.6155"
"Florida","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2010","6.2974"
"Florida","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2011","6.5958"
"Florida","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2012","7.0868"
"Florida","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2013","7.8322"
"Georgia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1990","61.3273"
"Georgia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1991","44.401"
"Georgia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1992","26.5651"
"Georgia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1993","15.0754"
"Georgia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1994","11.4571"
"Georgia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1995","12.2946"
"Georgia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1996","9.1854"
"Georgia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1997","6.7013"
"Georgia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1998","4.2347"
"Georgia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1999","5.3443"
"Georgia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2000","4.882"
"Georgia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2001","4.9252"
"Georgia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2002","5.1283"
"Georgia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2003","6.736"
"Georgia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2004","6.2179"
"Georgia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2005","7.1093"
"Georgia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2006","6.2046"
"Georgia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2007","7.1243"
"Georgia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2008","9.4366"
"Georgia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2009","9.6956"
"Georgia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2010","8.2063"
"Georgia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2011","6.9076"
"Georgia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2012","9.4456"
"Georgia","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2013","10.2521"
"Hawaii","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1990","0.8981"
"Hawaii","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1991","0.8797"
"Hawaii","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1992","0.8631"
"Hawaii","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1993","0.5968"
"Hawaii","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1994","0.3368"
"Hawaii","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1996","0.2492"
"Hawaii","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1997","0.0825"
"Hawaii","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1998","0.3292"
"Hawaii","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1999","0.2479"
"Hawaii","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2000","0.1649"
"Hawaii","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2001","0.978"
"Hawaii","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2002","0.8836"
"Hawaii","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2003","1.1132"
"Hawaii","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2004","0.6335"
"Hawaii","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2005","0.8626"
"Hawaii","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2006","1.4002"
"Hawaii","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2007","0.7013"
"Hawaii","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2008","2.2512"
"Hawaii","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2009","2.5479"
"Hawaii","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2010","2.573"
"Hawaii","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2011","1.0183"
"Hawaii","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2012","1.6519"
"Hawaii","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2013","3.3038"
"Idaho","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1990","1.0865"
"Idaho","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1991","0.6722"
"Idaho","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1992","0.1866"
"Idaho","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1993","0.1804"
"Idaho","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1994","0.1747"
"Idaho","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1996","0.3325"
"Idaho","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1997","0.0814"
"Idaho","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1998","0.1597"
"Idaho","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1999","0.0784"
"Idaho","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2000","0.0769"
"Idaho","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2001","0.0757"
"Idaho","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2002","0.5965"
"Idaho","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2003","1.0978"
"Idaho","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2004","1.7226"
"Idaho","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2005","1.3995"
"Idaho","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2006","0.2046"
"Idaho","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2007","0.0667"
"Idaho","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2008","0.4594"
"Idaho","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2009","0.1941"
"Idaho","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2010","0.3828"
"Idaho","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2011","0.8202"
"Idaho","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2012","1.6294"
"Idaho","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2013","0.94"
"Illinois","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1990","15.1223"
"Illinois","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1991","21.1428"
"Illinois","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1992","20.352"
"Illinois","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1993","12.6084"
"Illinois","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1994","9.2255"
"Illinois","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1995","8.544"
"Illinois","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1996","4.2803"
"Illinois","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1997","3.5698"
"Illinois","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1998","3.2269"
"Illinois","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","1999","3.4145"
"Illinois","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2000","3.3117"
"Illinois","Primary and Secondary Syphilis Incidence","Rate per 100000 Population","2001","3.2667"
